"filename", "language", "JavaScript", "Less", "Markdown", "HTML", "XML", "CSS", "JSON", "comment", "blank", "total"
"e:\VSC\日常练习\react练习\graduationProject\README.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"e:\VSC\日常练习\react练习\graduationProject\craco.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 6, 1, 22
"e:\VSC\日常练习\react练习\graduationProject\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 29055, 0, 1, 29056
"e:\VSC\日常练习\react练习\graduationProject\package.json", "JSON", 0, 0, 0, 0, 0, 0, 57, 0, 1, 58
"e:\VSC\日常练习\react练习\graduationProject\public\css\reset.css", "CSS", 0, 0, 0, 0, 0, 71, 0, 1, 11, 83
"e:\VSC\日常练习\react练习\graduationProject\public\index.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 27, 3, 47
"e:\VSC\日常练习\react练习\graduationProject\src\App.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 26, 9, 51
"e:\VSC\日常练习\react练习\graduationProject\src\App.less", "Less", 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"e:\VSC\日常练习\react练习\graduationProject\src\api\ajax.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 2, 5, 31
"e:\VSC\日常练习\react练习\graduationProject\src\api\index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 27, 52
"e:\VSC\日常练习\react练习\graduationProject\src\assets\Excel.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"e:\VSC\日常练习\react练习\graduationProject\src\components\Info\ChooseReceive.jsx", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 8, 14, 131
"e:\VSC\日常练习\react练习\graduationProject\src\components\Info\index.less", "Less", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"e:\VSC\日常练习\react练习\graduationProject\src\components\LeftNav\index.jsx", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 10, 12, 98
