Date : 2023-01-17 18:51:19
Directory : e:\VSC\日常练习\react练习\graduationProject
Total : 82 files,  33933 codes, 741 comments, 514 blanks, all 35188 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     29,112 |          0 |          2 |     29,114 |
| JavaScript |         53 |      3,939 |        685 |        407 |      5,031 |
| Less       |         22 |        781 |         28 |         85 |        894 |
| CSS        |          1 |         71 |          1 |         11 |         83 |
| HTML       |          1 |         17 |         27 |          3 |         47 |
| Markdown   |          2 |         10 |          0 |          6 |         16 |
| XML        |          1 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |         82 |     33,933 |        741 |        514 |     35,188 |
| . (Files)                                                                          |          4 |     29,134 |          6 |          7 |     29,147 |
| public                                                                             |          2 |         88 |         28 |         14 |        130 |
| public (Files)                                                                     |          1 |         17 |         27 |          3 |         47 |
| public\css                                                                         |          1 |         71 |          1 |         11 |         83 |
| src                                                                                |         76 |      4,711 |        707 |        493 |      5,911 |
| src (Files)                                                                        |          3 |         31 |         53 |         14 |         98 |
| src\api                                                                            |          2 |         49 |          2 |         32 |         83 |
| src\assets                                                                         |          1 |          3 |          0 |          0 |          3 |
| src\components                                                                     |         20 |      1,224 |        280 |        134 |      1,638 |
| src\components\Info                                                                |          2 |        115 |          8 |         14 |        137 |
| src\components\LeftNav                                                             |          2 |         94 |         11 |         14 |        119 |
| src\components\RightContent                                                        |          4 |        134 |         13 |         16 |        163 |
| src\components\Role                                                                |          2 |        116 |         60 |         16 |        192 |
| src\components\SelectiveSeq                                                        |          1 |         41 |          7 |          5 |         53 |
| src\components\StartScore                                                          |          2 |         37 |          1 |          8 |         46 |
| src\components\StartScoreHandle                                                    |          2 |         30 |          0 |          5 |         35 |
| src\components\StuView                                                             |          1 |        167 |         98 |         17 |        282 |
| src\components\Tab                                                                 |          1 |         25 |          0 |          4 |         29 |
| src\components\TchView                                                             |          1 |        158 |         27 |          3 |        188 |
| src\components\User                                                                |          2 |        307 |         55 |         32 |        394 |
| src\config                                                                         |          1 |         24 |         16 |          4 |         44 |
| src\pages                                                                          |         45 |      3,245 |        338 |        300 |      3,883 |
| src\pages\Admin                                                                    |          2 |         36 |          4 |          7 |         47 |
| src\pages\Department                                                               |          1 |        345 |         11 |         25 |        381 |
| src\pages\First                                                                    |          1 |         10 |          0 |          2 |         12 |
| src\pages\FirstPage                                                                |         19 |      1,612 |         16 |         99 |      1,727 |
| src\pages\FirstPage (Files)                                                        |          9 |        956 |          7 |         36 |        999 |
| src\pages\FirstPage\less                                                           |         10 |        656 |          9 |         63 |        728 |
| src\pages\Home                                                                     |          1 |         35 |         33 |         16 |         84 |
| src\pages\Info                                                                     |          2 |         98 |         17 |         14 |        129 |
| src\pages\Info\declaration                                                         |          2 |         98 |         17 |         14 |        129 |
| src\pages\Login                                                                    |          2 |        169 |         59 |         21 |        249 |
| src\pages\MyHooks                                                                  |          1 |        121 |         22 |         25 |        168 |
| src\pages\Notice                                                                   |          3 |         89 |         24 |         14 |        127 |
| src\pages\PersonalInfo                                                             |          1 |          9 |          0 |          3 |         12 |
| src\pages\Role                                                                     |          2 |        191 |         35 |         18 |        244 |
| src\pages\TestRoute                                                                |          6 |        191 |         63 |         28 |        282 |
| src\pages\TestState                                                                |          2 |         67 |          1 |          9 |         77 |
| src\pages\TwoWaySelection                                                          |          1 |         38 |          6 |          3 |         47 |
| src\pages\User                                                                     |          1 |        234 |         47 |         16 |        297 |
| src\routers                                                                        |          1 |        101 |         10 |          2 |        113 |
| src\utils                                                                          |          3 |         34 |          8 |          7 |         49 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\VSC\日常练习\react练习\graduationProject\README.md                                    | Markdown   |          7 |          0 |          4 |         11 |
| e:\VSC\日常练习\react练习\graduationProject\craco.config.js                              | JavaScript |         15 |          6 |          1 |         22 |
| e:\VSC\日常练习\react练习\graduationProject\package-lock.json                            | JSON       |     29,055 |          0 |          1 |     29,056 |
| e:\VSC\日常练习\react练习\graduationProject\package.json                                 | JSON       |         57 |          0 |          1 |         58 |
| e:\VSC\日常练习\react练习\graduationProject\public\css\reset.css                         | CSS        |         71 |          1 |         11 |         83 |
| e:\VSC\日常练习\react练习\graduationProject\public\index.html                            | HTML       |         17 |         27 |          3 |         47 |
| e:\VSC\日常练习\react练习\graduationProject\src\App.js                                   | JavaScript |         16 |         26 |          9 |         51 |
| e:\VSC\日常练习\react练习\graduationProject\src\App.less                                 | Less       |          1 |          2 |          0 |          3 |
| e:\VSC\日常练习\react练习\graduationProject\src\api\ajax.js                              | JavaScript |         24 |          2 |          5 |         31 |
| e:\VSC\日常练习\react练习\graduationProject\src\api\index.js                             | JavaScript |         25 |          0 |         27 |         52 |
| e:\VSC\日常练习\react练习\graduationProject\src\assets\Excel.svg                         | XML        |          3 |          0 |          0 |          3 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\Info\ChooseReceive.jsx        | JavaScript |        109 |          8 |         14 |        131 |
| e:\VSC\日常练习\react练习\graduationProject\src\components\Info\index.less               | Less       |          6 |          0 |          0 |          6 |
